SUMLEV,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2018,FIPS
40,01,000,Alabama,Alabama,4779736,4887871,01000
40,02,000,Alaska,Alaska,710231,737438,02000
40,04,000,Arizona,Arizona,6392017,7171646,04000
40,05,000,Arkansas,Arkansas,2915918,3013825,05000
40,06,000,California,California,37253956,39557045,06000
40,08,000,Colorado,Colorado,5029196,5695564,08000
40,09,000,Connecticut,Connecticut,3574097,3572665,09000
40,10,000,Delaware,Delaware,897934,967171,10000
40,11,000,District of Columbia,District of Columbia,601723,702455,11000
40,12,000,Florida,Florida,18801310,21299325,12000
40,13,000,Georgia,Georgia,9687653,10519475,13000
40,15,000,Hawaii,Hawaii,1360301,1420491,15000
40,16,000,Idaho,Idaho,1567582,1754208,16000
40,17,000,Illinois,Illinois,12830632,12741080,17000
40,18,000,Indiana,Indiana,6483802,6691878,18000
40,19,000,Iowa,Iowa,3046355,3156145,19000
40,20,000,Kansas,Kansas,2853118,2911505,20000
40,21,000,Kentucky,Kentucky,4339367,4468402,21000
40,22,000,Louisiana,Louisiana,4533372,4659978,22000
40,23,000,Maine,Maine,1328361,1338404,23000
40,24,000,Maryland,Maryland,5773552,6042718,24000
40,25,000,Massachusetts,Massachusetts,6547629,6902149,25000
40,26,000,Michigan,Michigan,9883640,9995915,26000
40,27,000,Minnesota,Minnesota,5303925,5611179,27000
40,28,000,Mississippi,Mississippi,2967297,2986530,28000
40,29,000,Missouri,Missouri,5988927,6126452,29000
40,30,000,Montana,Montana,989415,1062305,30000
40,31,000,Nebraska,Nebraska,1826341,1929268,31000
40,32,000,Nevada,Nevada,2700551,3034392,32000
40,33,000,New Hampshire,New Hampshire,1316470,1356458,33000
40,34,000,New Jersey,New Jersey,8791894,8908520,34000
40,35,000,New Mexico,New Mexico,2059179,2095428,35000
40,36,000,New York,New York,19378102,19542209,36000
40,37,000,North Carolina,North Carolina,9535483,10383620,37000
40,38,000,North Dakota,North Dakota,672591,760077,38000
40,39,000,Ohio,Ohio,11536504,11689442,39000
40,40,000,Oklahoma,Oklahoma,3751351,3943079,40000
40,41,000,Oregon,Oregon,3831074,4190713,41000
40,42,000,Pennsylvania,Pennsylvania,12702379,12807060,42000
40,44,000,Rhode Island,Rhode Island,1052567,1057315,44000
40,45,000,South Carolina,South Carolina,4625364,5084127,45000
40,46,000,South Dakota,South Dakota,814180,882235,46000
40,47,000,Tennessee,Tennessee,6346105,6770010,47000
40,48,000,Texas,Texas,25145561,28701845,48000
40,49,000,Utah,Utah,2763885,3161105,49000
40,50,000,Vermont,Vermont,625741,626299,50000
40,51,000,Virginia,Virginia,8001024,8517685,51000
40,53,000,Washington,Washington,6724540,7535591,53000
40,54,000,West Virginia,West Virginia,1852994,1805832,54000
40,55,000,Wisconsin,Wisconsin,5686986,5813568,55000
40,56,000,Wyoming,Wyoming,563626,577737,56000
