date,Confirmed,Deaths,Recovered,Active,New
01/22/2020,1,0,0,1,1
01/23/2020,1,0,0,1,0
01/24/2020,2,0,0,2,1
01/25/2020,2,0,0,2,0
01/26/2020,5,0,0,5,3
01/27/2020,5,0,0,5,0
01/28/2020,5,0,0,5,0
01/29/2020,5,0,0,5,0
01/30/2020,5,0,0,5,0
01/31/2020,6,0,0,6,1
02/01/2020,8,0,0,8,2
02/02/2020,8,0,0,8,0
02/03/2020,11,0,0,11,3
02/04/2020,11,0,0,11,0
02/05/2020,12,0,0,12,1
02/06/2020,12,0,0,12,0
02/07/2020,12,0,0,12,0
02/08/2020,12,0,0,12,0
02/09/2020,12,0,3,9,0
02/10/2020,12,0,3,9,0
02/11/2020,13,0,3,10,1
02/12/2020,13,0,3,10,0
02/13/2020,15,0,3,12,2
02/14/2020,15,0,3,12,0
02/15/2020,15,0,3,12,0
02/16/2020,15,0,3,12,0
02/17/2020,15,0,3,12,0
02/18/2020,15,0,3,12,0
02/19/2020,15,0,3,12,0
02/20/2020,15,0,3,12,0
02/21/2020,35,0,5,30,18
02/22/2020,35,0,5,30,0
02/23/2020,35,0,5,30,0
02/24/2020,53,0,5,48,18
02/25/2020,53,0,6,47,0
02/26/2020,59,0,6,53,6
02/27/2020,60,0,6,54,1
02/28/2020,62,0,7,55,1
02/29/2020,70,1,7,62,7
03/01/2020,76,1,7,68,6
03/02/2020,101,6,7,88,20
03/03/2020,122,7,8,107,19
03/04/2020,153,11,8,134,27
03/05/2020,221,12,8,201,67
03/06/2020,278,14,8,256,55
03/07/2020,419,17,8,394,138
03/08/2020,537,21,8,508,114
03/09/2020,607,22,8,577,69
03/10/2020,958,28,8,922,345
03/11/2020,1281,36,8,1237,315
03/12/2020,1663,40,12,1611,374
03/13/2020,2179,47,12,2120,509
03/14/2020,2732,54,12,2666,546
03/15/2020,3500,63,12,3425,759
03/16/2020,4632,85,17,4530,1105
03/17/2020,6430,108,17,6305,1775
03/18/2020,7794,118,106,7570,1265
03/19/2020,13711,200,108,13403,5833
03/20/2020,19110,244,147,18719,5316
03/21/2020,25514,307,171,25036,6317
03/22/2020,33290,417,178,32695,7659
03/23/2020,43684,552,178,43132,10437
03/24/2020,53782,706,348,52728,9596
03/25/2020,65822,942,361,64519,11791
